製品,製品単位,部品,必要量,部品単位,行番,不要
3/103LA,K,N/103LA,1,K,1,1
3/103LA,K,1/13241,1.02,K,2,2
3/111RA,K,N/111RA,1,K,1,1
3/111RA,K,1/15791,1.02,K,2,2
3/154UA,K,N/154UA,1,K,1,1
3/154UA,K,1/15061,1.01,K,2,2
3/189DA,K,N/189DA,1,K,1,1
3/189DA,K,1/17731,1.02,K,2,2
3/205CA,K,N/205CA,1,K,1,1
3/205CA,K,1/20341,1.02,K,2,2
3/256PA,K,N/256PA,1,K,1,1
3/256PA,K,1/70061,0.42,K,2,2
3/256PA,K,1/16791,0.65,K,3,2
3/256QA,K,N/256QA,1,K,1,1
3/256QA,K,1/70071,0.42,K,2,2
3/256QA,K,1/16791,0.66,K,3,2
3/262PA,K,N/262PA,1,K,1,1
3/262PA,K,1/17731,0.69,K,2,2
3/262PA,K,1/16791,0.39,K,3,2
3/264KA,K,N/264KA,1,K,1,1
3/264KA,K,1/12831,0.27,K,2,2
3/264KA,K,1/18511,0.8,K,3,2
3/270MA,K,N/270MA,1,K,1,1
3/270MA,K,1/70061,0.27,K,2,2
3/270MA,K,1/17901,0.8,K,3,2
3/270NA,K,N/270NA,1,K,1,1
3/270NA,K,1/70071,0.27,K,2,2
3/270NA,K,1/17911,0.8,K,3,2
3/278KA,K,N/278KA,1,K,1,1
3/278KA,K,1/12271,0.25,K,2,2
3/278KA,K,1/18511,0.82,K,3,2
3/293RA,K,N/293RA,1,K,1,1
3/293RA,K,3/262PA,1,K,2,2
3/320GA,K,N/320GA,1,K,1,1
3/320GA,K,1/15791,0.42,K,2,2
3/320GA,K,1/17731,0.65,K,3,2
3/342BA,K,N/342BA,1,K,1,1
3/342BA,K,1/60001,1.02,K,2,2
3/371UA,K,N/371UA,1,K,1,1
3/371UA,K,3/154UA,1,K,2,2
3/371WA,K,N/371WA,1,K,1,1
3/371WA,K,1/15051,1.02,K,2,2
3/404AA,K,N/404AA,1,K,1,1
3/404AA,K,1/17891,0.72,K,2,2
3/404AA,K,1/70031,0.38,K,3,2
3/404BA,K,N/404BA,1,K,1,1
3/404BA,K,1/18511,0.72,K,2,2
3/404BA,K,1/70061,0.38,K,3,2
3/430HA,K,N/430HA,1,K,1,1
3/430HA,K,1/13241,0.49,K,2,2
3/430HA,K,1/85141,0.61,K,3,2
3/432FA,K,N/432FA,1,K,1,1
3/432FA,K,1/13241,0.32,K,2,2
3/432FA,K,1/25421,0.78,K,3,2
3/507JA,K,N/507JA,1,K,1,1
3/507JA,K,3/B2093,1.02,K,2,2
3/507KA,K,N/507KA,1,K,1,1
3/507KA,K,3/B2083,1.02,K,2,2
3/558CA,K,N/558CA,1,K,1,1
3/558CA,K,1/12391,0.29,K,2,2
3/558CA,K,1/17731,0.78,K,3,2
3/683AA,K,N/683AA,1,K,1,1
3/683AA,K,3/A3071,1.01,K,2,2
3/A0401,K,N/A0401,1,K,1,1
3/A0401,K,1/655BB,1,K,2,2
3/A1161,K,N/A1161,1,K,1,1
3/A1161,K,1/046CC,1.03,K,2,2
3/A1605,K,N/A1605,1,K,1,1
3/A1605,K,1/844QQ,1.02,K,2,2
3/A1701,K,N/A1701,1,K,1,1
3/A1701,K,1/844TT,1.03,K,2,2
3/A2814,K,N/A2814,1,K,1,1
3/A2814,K,3/205CA,1.03,K,2,2
3/A2831,K,N/A2831,1,K,1,1
3/A2831,K,3/205CA,1.03,K,2,2
3/A3071,K,N/A3071,1,K,1,1
3/A3071,K,1/035DA,1.01,K,2,2
3/A7596,K,N/A7596,1,K,1,1
3/A7596,K,3/342BA,1.02,K,2,2
3/A8861,K,N/A8861,1,K,1,1
3/A8861,K,1/011AA,1.03,K,2,2
3/A9114,K,N/A9114,1,K,1,1
3/A9114,K,1/011AA,1.03,K,2,2
3/A9664,K,N/A9664,1,K,1,1
3/A9664,K,3/189DA,1.02,K,2,2
3/B0032,K,N/B0032,1,K,1,1
3/B0032,K,1/29141,1.02,K,2,2
3/B0596,K,N/B0596,1,K,1,1
3/B0596,K,1/87201,1.02,K,2,2
3/B1375,K,N/B1375,1,K,1,1
3/B1375,K,1/82081,1.02,K,2,2
3/B1705,K,N/B1705,1,K,1,1
3/B1705,K,1/85181,1.02,K,2,2
3/B1735,K,N/B1735,1,K,1,1
3/B1735,K,1/25312,1.02,K,2,2
3/B1907,K,N/B1907,1,K,1,1
3/B1907,K,1/23251,1.02,K,2,2
3/B1917,K,N/B1917,1,K,1,1
3/B1917,K,1/23251,1.02,K,2,2
3/B2048,K,N/B2048,1,K,1,1
3/B2048,K,3/N1943,1.03,K,2,2
3/B2058,K,N/B2058,1,K,1,1
3/B2058,K,3/N1953,1.03,K,2,2
3/B2083,K,N/B2083,1,K,1,1
3/B2083,K,1/13241,1.02,K,2,2
3/B2093,K,N/B2093,1,K,1,1
3/B2093,K,1/13241,1.02,K,2,2
3/B3534,K,N/B3534,1,K,1,1
3/B3534,K,1/25241,1.02,K,2,2
3/B4177,K,N/B4177,1,K,1,1
3/B4177,K,1/38821,1.02,K,2,2
3/B4187,K,N/B4187,1,K,1,1
3/B4187,K,1/38821,1.02,K,2,2
3/B4197,K,N/B4197,1,K,1,1
3/B4197,K,1/38821,1.02,K,2,2
3/B4584,K,N/B4584,1,K,1,1
3/B4584,K,1/24041,1.02,K,2,2
3/B5367,K,N/B5367,1,K,1,1
3/B5367,K,1/11151,1.02,K,2,2
3/B5377,K,N/B5377,1,K,1,1
3/B5377,K,1/11151,1.02,K,2,2
3/B5687,K,N/B5687,1,K,1,1
3/B5687,K,1/10081,0.28,K,2,2
3/B5687,K,1/85131,0.75,K,3,2
3/B5697,K,N/B5697,1,K,1,1
3/B5697,K,1/10081,0.28,K,2,2
3/B5697,K,1/85131,0.75,K,3,2
3/B7085,K,N/B7085,1,K,1,1
3/B7085,K,1/13031,0.21,K,2,2
3/B7085,K,1/85301,0.81,K,3,2
3/B7527,K,N/B7527,1,K,1,1
3/B7527,K,1/11161,0.34,K,2,2
3/B7527,K,1/25431,0.68,K,3,2
3/B8127,K,N/B8127,1,K,1,1
3/B8127,K,1/10291,0.39,K,2,2
3/B8127,K,1/23251,0.63,K,3,2
3/B8137,K,N/B8137,1,K,1,1
3/B8137,K,1/10291,0.39,K,2,2
3/B8137,K,1/23251,0.63,K,3,2
3/B8167,K,N/B8167,1,K,1,1
3/B8167,K,1/10291,0.3,K,2,2
3/B8167,K,1/23231,0.73,K,3,2
3/B8177,K,N/B8177,1,K,1,1
3/B8177,K,1/10291,0.3,K,2,2
3/B8177,K,1/23231,0.73,K,3,2
3/B8347,K,N/B8347,1,K,1,1
3/B8347,K,1/10731,0.34,K,2,2
3/B8347,K,1/25431,0.68,K,3,2
3/B8357,K,N/B8357,1,K,1,1
3/B8357,K,1/10731,0.34,K,2,2
3/B8357,K,1/25431,0.68,K,3,2
3/B8887,K,N/B8887,1,K,1,1
3/B8887,K,1/10291,0.29,K,2,2
3/B8887,K,1/25871,0.74,K,3,2
3/B8897,K,N/B8897,1,K,1,1
3/B8897,K,1/10291,0.29,K,2,2
3/B8897,K,1/25871,0.74,K,3,2
3/B9707,K,N/B9707,1,K,1,1
3/B9707,K,1/11151,0.34,K,2,2
3/B9707,K,1/85181,0.69,K,3,2
3/B9717,K,N/B9717,1,K,1,1
3/B9717,K,1/11151,0.34,K,2,2
3/B9717,K,1/85181,0.69,K,3,2
3/B9847,K,N/B9847,1,K,1,1
3/B9847,K,1/11151,0.35,K,2,2
3/B9847,K,1/25312,0.69,K,3,2
3/B9857,K,N/B9857,1,K,1,1
3/B9857,K,1/11151,0.35,K,2,2
3/B9857,K,1/25312,0.69,K,3,2
3/B9867,K,N/B9867,1,K,1,1
3/B9867,K,1/11151,0.34,K,2,2
3/B9867,K,1/85181,0.69,K,3,2
3/B9877,K,N/B9877,1,K,1,1
3/B9877,K,1/11151,0.34,K,2,2
3/B9877,K,1/85181,0.69,K,3,2
3/C0947,K,N/C0947,1,K,1,1
3/C0947,K,1/52621,1.03,K,2,2
3/D0056,K,N/D0056,1,K,1,1
3/D0056,K,1/13811,0.53,K,2,2
3/D0056,K,1/25312,0.49,K,3,2
3/D0513,K,N/D0513,1,K,1,1
3/D0513,K,1/25871,1.02,K,2,2
3/D1568,K,N/D1568,1,K,1,1
3/D1568,K,3/N1206,1.02,K,2,2
3/D1578,K,N/D1578,1,K,1,1
3/D1578,K,3/N1216,1.02,K,2,2
3/D1608,K,N/D1608,1,K,1,1
3/D1608,K,3/N1307,1.02,K,2,2
3/D1618,K,N/D1618,1,K,1,1
3/D1618,K,3/N1317,1.02,K,2,2
3/D1627,K,N/D1627,1,K,1,1
3/D1627,K,1/81671,0.22,K,2,2
3/D1627,K,1/24100,0.82,K,3,2
3/D1637,K,N/D1637,1,K,1,1
3/D1637,K,1/81671,0.22,K,2,2
3/D1637,K,1/24100,0.82,K,3,2
3/D1844,K,N/D1844,1,K,1,1
3/D1844,K,1/24031,1.03,K,2,2
3/D1867,K,N/D1867,1,K,1,1
3/D1867,K,1/81671,0.22,K,2,2
3/D1867,K,1/24031,0.82,K,3,2
3/D1877,K,N/D1877,1,K,1,1
3/D1877,K,1/81671,0.22,K,2,2
3/D1877,K,1/24031,0.82,K,3,2
3/D2606,K,N/D2606,1,K,1,1
3/D2606,K,1/25511,0.79,K,2,2
3/D2606,K,1/24031,0.24,K,3,2
3/D3896,K,N/D3896,1,K,1,1
3/D3896,K,1/24100,1.02,K,2,2
3/D3907,K,N/D3907,1,K,1,1
3/D3907,K,1/24100,1.02,K,2,2
3/D3917,K,N/D3917,1,K,1,1
3/D3917,K,1/24100,1.02,K,2,2
3/D5107,K,N/D5107,1,K,1,1
3/D5107,K,1/13031,1.02,K,2,2
3/D5117,K,N/D5117,1,K,1,1
3/D5117,K,1/13031,1.02,K,2,2
3/D5527,K,N/D5527,1,K,1,1
3/D5527,K,1/10561,0.36,K,2,2
3/D5527,K,1/87131,0.67,K,3,2
3/D5537,K,N/D5537,1,K,1,1
3/D5537,K,1/10561,0.36,K,2,2
3/D5537,K,1/87131,0.67,K,3,2
3/E1725,K,N/E1725,1,K,1,1
3/E1725,K,3/270MA,1.02,K,2,2
3/E1744,K,N/E1744,1,K,1,1
3/E1744,K,3/270NA,1.02,K,2,2
3/E1765,K,N/E1765,1,K,1,1
3/E1765,K,3/270NA,1.02,K,2,2
3/E2522,K,N/E2522,1,K,1,1
3/E2522,K,3/320GA,0.45,K,2,2
3/E2522,K,1/34011,0.58,K,3,2
3/E2532,K,N/E2532,1,K,1,1
3/E2532,K,3/320GA,0.45,K,2,2
3/E2532,K,1/36251,0.58,K,3,2
3/E2665,K,N/E2665,1,K,1,1
3/E2665,K,3/558CA,1.02,K,2,2
3/E3881,K,N/E3881,1,K,1,1
3/E3881,K,3/293RA,1.02,K,2,2
3/E4314,K,N/E4314,1,K,1,1
3/E4314,K,3/558CA,1.02,K,2,2
3/E7364,K,N/E7364,1,K,1,1
3/E7364,K,3/256PA,1.02,K,2,2
3/E7544,K,N/E7544,1,K,1,1
3/E7544,K,3/256QA,1.02,K,2,2
3/F1448,K,N/F1448,1,K,1,1
3/F1448,K,3/R1445,0.83,K,2,2
3/F1448,K,1/24031,0.2,K,3,2
3/F2246,K,N/F2246,1,K,1,1
3/F2246,K,3/103LA,0.32,K,2,2
3/F2246,K,3/111RA,0.61,K,3,2
3/F2246,K,1/11691,0.17,K,4,2
3/G3007,K,N/G3007,1,K,1,1
3/G3007,K,1/857AS,0.28,K,2,2
3/G3007,K,1/25201,0.74,K,3,2
3/G3017,K,N/G3017,1,K,1,1
3/G3017,K,1/857BA,0.28,K,2,2
3/G3017,K,1/25201,0.74,K,3,2
3/G4044,K,N/G4044,1,K,1,1
3/G4044,K,3/507JA,0.36,K,2,2
3/G4044,K,1/85181,0.67,K,3,2
3/G4084,K,N/G4084,1,K,1,1
3/G4084,K,3/507KA,0.36,K,2,2
3/G4084,K,1/85181,0.67,K,3,2
3/G4848,K,N/G4848,1,K,1,1
3/G4848,K,3/189DA,0.64,K,2,2
3/G4848,K,3/B0032,0.39,K,3,2
3/H3504,K,N/H3504,1,K,1,1
3/H3504,K,1/25421,0.55,K,2,2
3/H3504,K,1/56021,0.48,K,3,2
3/J3955,K,N/J3955,1,K,1,1
3/J3955,K,3/430HA,1.03,K,2,2
3/J6484,K,N/J6484,1,K,1,1
3/J6484,K,3/432FA,0.73,K,2,2
3/J6484,K,1/37542,0.37,K,3,2
3/N1206,K,N/N1206,1,K,1,1
3/N1206,K,1/81671,0.21,K,2,2
3/N1206,K,1/24100,0.82,K,3,2
3/N1216,K,N/N1216,1,K,1,1
3/N1216,K,1/81671,0.21,K,2,2
3/N1216,K,1/24100,0.82,K,3,2
3/N1307,K,N/N1307,1,K,1,1
3/N1307,K,1/10061,0.23,K,2,2
3/N1307,K,1/24001,0.81,K,3,2
3/N1317,K,N/N1317,1,K,1,1
3/N1317,K,1/10061,0.23,K,2,2
3/N1317,K,1/24001,0.81,K,3,2
3/N1943,K,N/N1943,1,K,1,1
3/N1943,K,1/24001,0.59,K,2,2
3/N1943,K,3/B1907,0.45,K,3,2
3/N1953,K,N/N1953,1,K,1,1
3/N1953,K,1/24001,0.59,K,2,2
3/N1953,K,3/B1917,0.45,K,3,2
3/R1445,K,N/R1445,1,K,1,1
3/R1445,K,1/600SA,0.39,K,2,2
3/R1445,K,1/24031,0.71,K,3,2
3/W1921,K,N/W1921,1,K,1,1
3/W1921,K,3/558CA,1.03,K,2,2
3/W2854,K,N/W2854,1,K,1,1
3/W2854,K,3/264KA,1.02,K,2,2
3/W2864,K,N/W2864,1,K,1,1
3/W2864,K,3/278KA,1.02,K,2,2
3/Y5161,K,N/Y5161,1,K,1,1
3/Y5161,K,1/82081,0.43,K,2,2
3/Y5161,K,1/964AA,0.57,K,3,2
3/Y5171,K,N/Y5171,1,K,1,1
3/Y5171,K,3/Y5161,1,K,2,2
3/Y5181,K,N/Y5181,1,K,1,1
3/Y5181,K,1/82081,0.43,K,2,2
3/Y5181,K,1/964BS,0.57,K,3,2
3/Y5191,K,N/Y5191,1,K,1,1
3/Y5191,K,3/Y5181,1,K,2,2
