,コード,名称,フリガナ,略称,郵便番号,住所１,住所２,部署名,役職名,ご担当者,敬称,TEL,FAX,メールアドレス,ホームページ,担当者,,取引区分,単価種類,掛率,締グループ,,金額端数処理,税端数処理,税転嫁,買掛残高,支払方法１,,,支払方法２,,,支払基準額,分け方,支払サイクル,支払日,サイト,取引銀行番号,振込先銀行名,銀行名フリガナ,取引支店番号,銀行本支店名,支店名フリガナ,口座関係,預金種類,口座番号,口座名義,口座名義フリガナ,顧客コード１,顧客コード２,手数料負担,振込方法,分類１,,分類２,,分類３,,分類４,,分類５,,メモ欄,参照表示,更新日
,011,旭化成アドバンス株式会社,ｱｻﾋｶｾｲｱﾄﾞﾊﾞﾝｽｶﾌﾞｼｷｶﾞｲｼｬ,旭化成アドバンス株式会社,5308205,大阪府大阪市北区中之島三丁目３番２３号,（中之島ダイビル）,アウターマテリアル事業部第一営業部,,,御中,06-7636-3923,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,"122,400 ",000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年02月22日
,014,旭化成アドバンス株式会社,ｱｻﾋｶｾｲｱﾄﾞﾊﾞﾝｽ,旭化成アドバンス株式会社,910-8558,福井県福井市大手2丁目7-15,,,,,御中,0776-22-0120,0776-22-0129,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年04月21日
,058,ウラセ株式会社,ｳﾗｾｶﾌﾞｼｷｶﾞｲｼｬ,ウラセ㈱,9168550,福井県鯖江市神中町2丁目7-40,,,,,御中,0778-54-8000,,,,E,清田　祐也E,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年03月17日
,060,伊藤忠商事株式会社 北陸支店,,伊藤忠商事㈱ 北陸支店,920-0031,石川県金沢市広岡1-1-18,伊藤忠金沢ビル,,,,御中,076-265-5471,,,,E,清田　祐也E,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年04月14日
,074,株式会社エムズクリエイツ,ｶﾌﾞｼｷｶﾞｲｼｬｴﾑｽﾞｸﾘｴｲﾂ,㈱エムズクリエイツ,102-0084,東京都千代田区二番町1-2-831,,,代表取締役,諸我勝典,様,,,,,L,上村　茂L,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年07月16日
,077,株式会社ウエマツ,ｶﾌﾞｼｷｶﾞｲｼｬｳｴﾏﾂ,㈱ウエマツ,919-0321,福井県福井市下河北町第７号５番地４,,,,,様,0776-38-9700,0776-38-9393,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,31 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年01月09日
,078,株式会社ＳＫ　ＧＬＯＢＡＬ,ｶﾌﾞｼｷｶﾞｲｼｬSK GLOBAL,ＳＫ　ＧＬＯＢＡＬ,542-0066,大阪府大阪市中央区瓦屋町2丁目12-3,,,,,御中,06-4303-4452,06-4303-4453,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年01月28日
,082,オーミケンシ株式会社,ｵｰﾐｹﾝｼｶﾌﾞｼｷｶﾞｲｼｬ,オーミケンシ㈱,541-0048,大阪府大阪市中央区瓦町2-5-14,,,,,御中,06-6205-7116,06-6205-7155,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年03月05日
,085,奥田株式会社,ｵｸﾀﾞｶﾌﾞｼｷｶﾞｲｼｬ,奥田㈱,547-0002,大阪市平野区加美東1丁目9-17,,,,,御中,06-6791-2101,06-6791-2102,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年08月07日
,092,有限会社オリセン,ﾕｳｹﾞﾝｶﾞｲｼｬｵﾘｾﾝ,ﾕｳｹﾞﾝｶﾞｲｼｬｵﾘｾﾝ,929-1172,石川県かほく市松浜ロ14,,,代表取締役,折戸　開成,様,076-285-0339,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年07月11日
,116,尾張整染株式会社,ｵﾜﾘｾｲｾﾝｶﾌﾞｼｷｶﾞｲｼｬ,尾張整染㈱,491-0073,愛知県一宮市高畑町二丁目２５番地,,車両インテリア事業部第１生産部　生産管理,,石川,様,0586-72-4327,,,,X,上村　茂X,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,"104,289 ",301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2014年12月09日
,122,カワボウ繊維株式会社,ｶﾜﾎﾞｳｾﾝｲｶﾌﾞｼｷｶﾞｲｼｬ,カワボウ繊維㈱,5028501,岐阜県岐阜市正木中１丁目１番１号,,テキスタイル本部婦人グループ,,,御中,058-294-7783,,,,E,清田　祐也E,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年09月18日
,127,株式会社暁星ジャパン　大阪支店,ｶﾌﾞｼｷｶﾞｲｼｬｷﾞｮｳｾｲｼﾞｬﾊﾟﾝ ｵｵｻｶｼﾃﾝ,㈱暁星ジャパン　大阪支店,541-0052,大阪府大阪市中央区安土町2-3-13,大阪国際ビル13階,,,,御中,06-6264-0778,06-6261-0884,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年02月18日
,136,岐セン株式会社,ｷﾞｾﾝｶﾌﾞｼｷｶﾞｲｼｬ,岐セン㈱,501-0234,岐阜県瑞穂市牛牧758番地,,,,,御中,058-326-5111,,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,31 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年03月05日
,151,公益財団法人　日本防炎協会,ｺｳｴｷｻﾞｲﾀﾞﾝﾎｳｼﾞﾝ ﾆﾎﾝﾎﾞｳｴﾝｷｮｳｶｲ,(公財)日本防炎協会,103-0022,東京都中央区日本橋室町4-1-5共同ビル,,,,,御中,03-3246-1661,,,,X,上村　茂X,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年06月04日
,160,株式会社楠コーポレーション,(ｶﾌﾞ)ｸｽﾉｷｺｰﾎﾟﾚｰｼｮﾝ,㈱楠コーポレーション,541-0054,大阪府大阪市中央区南本町３－３－２３,インペリアル船場４１７号,,,,御中,06-4963-2144,,,,E,清田　祐也E,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年06月04日
,170,有限会社ケイライン,ﾕｳ ｹｲﾗｲﾝ,㈲ケイライン,915-0264,福井県越前市野岡町１２－１－１１,,,,,御中,0778-42-3722,,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,当月,0 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年02月13日
,171,ＫＢセーレン株式会社,ｹｰﾋﾞｰｾｰﾚﾝｶﾌﾞｼｷｶﾞｲｼｬ,ＫＢセーレン㈱,107-0062,東京都港区南青山1-1-1,新青山ﾋﾞﾙ東館17階,生活資材販売部,,,御中,03-5411-8916,03-5411-8919,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年02月06日
,190,株式会社弘伸,ｶﾌﾞｼｷｶﾞｲｼｬｺｳｼﾝ,㈱弘伸,617-0826,京都府長岡京市開田1丁目17番27号,,,,,御中,075-955-0105,075-955-7700,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年01月09日
,191,コマテックス株式会社,ｺﾏﾃｯｸｽｶﾌﾞｼｷｶﾞｲｼｬ,コマテックス㈱,923-1117,石川県能美市末信町ヌ80番地,,,,,御中,0761-58-7001,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年04月28日
,194,株式会社クリエイト,ｶﾌﾞｸﾘｴｲﾄ,㈱クリエイト,101-0031,東京都千代田区東神田２－４－２,,,常務,山本,様,03-3863-6555,,,,K,上村　茂K,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年02月24日
,201,サイボー株式会社,ｻｲﾎﾞｰｶﾌﾞｼｷｶﾞｲｼｬ,サイボー㈱,444-0806,愛知県岡崎市緑丘2丁目6番地4,ACCESS　STREET　402,,,,御中,0564-57-2750,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,25,毎月25日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2014年12月08日
,202,山越株式会社,ｻﾝｴﾂｶﾌﾞｼｷｶﾞｲｼｬ,山越㈱,929-1215,石川県かほく市高松丙1番地5,,,,,御中,076-281-8110,,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年04月21日
,203,酒伊編織株式会社,ｻｶｲｱﾐｵﾘｶﾌﾞｼｷｶﾞｲｼｬ,酒伊編織㈱,916-0027,福井県鯖江市桜町2丁目1-5,,,,,御中,0778-51-4642,0778-52-3976,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年01月09日
,212,三協織物株式会社,ｻﾝｷｮｳｵﾘﾓﾉｶﾌﾞｼｷｶﾞｲｼｬ,三協織物㈱,430-0846,静岡県浜松市南区白羽町610番地,,,,,御中,053-441-2211,053-441-2410,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年02月06日
,220,株式会社今野,ｶﾌﾞｼｷｶﾞｲｼｬｺﾝﾉ,㈱今野,992-0053,山形県米沢市松が岬２－１－６６,,,,,御中,0238-21-2231,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2014年12月03日
,223,サンコロナ小田株式会社,ｻﾝｺﾛﾅｵﾀﾞ ｶﾌﾞｼｷｶﾞｲｼｬ,サンコロナ小田㈱,923-0311,石川県小松市木場町,石川県小松市木場町カ－８１,,,,御中,0761-43-2216,0761-43-1762,,,,,掛仕入,仕入単価,100.0 ,25,毎月25日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年01月09日
,262,信友株式会社,ｼﾅﾄﾓｶﾌﾞｼｷｶﾞｲｼｬ,信友㈱,430-0929,静岡県浜松市中区中央3-7-10,セントラルプラザ21-2階,,,,御中,053-452-3123,,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年03月03日
,291,株式会社ジャテック,ｶﾌﾞｼｷｶﾞｲｼｬｼﾞｬﾃｯｸ,㈱ジャテック,921-8062,石川県金沢市新保本３丁目１０２番,,,,,御中,076-249-3006,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,"434,160 ",301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2014年12月07日
,292,有限会社酒井修整,ﾕｳｹﾞﾝｶﾞｲｼｬｻｶｲｼｭｳｾｲｻｶｲ,㈲酒井修整,940-0136,新潟県長岡市東が丘1-15,,,,,御中,0258-52-4343,,,,,,掛仕入,仕入単価,100.0 ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,"22,680 ",000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年03月08日
,295,スタイレム株式会社21課,ｽﾀｲﾚﾑｶﾌﾞｼｷｶﾞｲｼｬ 21ｶ,スタイレム株式会社21課,556-0017,大阪府大阪市浪速区湊町1-2-3,,21課,,川本,様,06-4396-6640,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年05月13日
,327,瀧定名古屋株式会社,ﾀｷｻﾀﾞﾅｺﾞﾔ (ｶﾌﾞ)  11ｶ,瀧定名古屋㈱,460-8667,愛知県名古屋市中区錦２－１３－１９,,１１課,課長,森,様,052-201-0711,,,,K,上村　茂K,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年02月24日
,329,スタイレム株式会社83課,ｽﾀｲﾚﾑｶﾌﾞｼｷｶﾞｲｼｬ83ｶ,スタイレム株式会社83課,556-0017,大阪府大阪市浪速区湊町１－２－３,マルイト難波ビル１１Ｆ,83課,課長,河南,様,06-4396-6692,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年02月24日
,350,田村駒株式会社,ﾀﾑﾗｺﾏｶﾌﾞｼｷｶﾞｲｼｬ,田村駒㈱,103-0011,東京都中央区日本橋大伝馬町14-17,,第一事業部　第四部　第二課,,小林,様,03-3665-8090,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,"1,522,209 ",000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年04月01日
,352,株式会社タカイ,ｶﾌﾞｼｷｶﾞｲｼｬﾀｶｲ,㈱タカイ,491-0005,愛知県一宮市西大海道戌亥７番地の２,,,,,様,0586-76-3552,,,,E,清田　祐也E,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2014年12月09日
,353,株式会社多島,ｶﾌﾞｼｷｶﾞｲｼｬﾀｼﾞﾏ,㈱多島,923-0854,石川県小松市大領町ハ1番地,,,,,御中,0761-48-5383,0761-48-6343,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,"2,041 ",000,,,000,,,0 ,超過分,翌月,25 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年02月13日
,354,タカギプランズ,ﾀｶｷﾞﾌﾟﾗﾝｽﾞ,タカギプランズ,992-0003,山形県米沢市窪田町窪田1717-7,,,,,御中,0238-37-3343,0238-37-3343,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年04月08日
,367,株式会社Ｃ’ｈａｐｐｙ Ｔｒａｄｉｎｇ,(ｶﾌﾞ)C'HAPPY TRADING,㈱C'HAPPY TRADING,541-0054,大阪府大阪市中央区南本町２－４－１１,第一住建本町ビル２０１号室,,,,御中,50-3387-3880,,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年10月05日
,371,蝶理株式会社,ﾁｮｳﾘｶﾌﾞｼｷｶﾞｲｼｬ,蝶理㈱,541-0047,大阪府大阪市中央区淡路町1-7-3,日土地堺筋ビル10Ｆ,素材製品部  第２課,,,御中,06-6228-5361,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,"1,843,208 ",000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年09月17日
,375,有限会社ツカサ企画,ﾕｳｹﾞﾝｶﾞｲｼｬﾂｶｻｷｶｸ,㈲ツカサ企画,630-8115,奈良県奈良市大宮町７丁目２－２０,サンマンション新大宮２０１号,,,,御中,0742-36-0033,,,,B,板鼻健太郎B,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2014年12月03日
,378,蝶理株式会社　北陸支店(織用),ﾁｮｳﾘｶﾌﾞｼｷｶﾞｲｼｬ ﾎｸﾘｸｼﾃﾝ(ｵﾘﾖｳ,蝶理株式会社　北陸支店(,920-8676,石川県金沢市昭和町16-1,ヴィサージュオフィスゾーン15階,,,,御中,076-232-3521,,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,織物仕入用,表示する,2015年10月06日
,379,蝶理株式会社　北陸支店(糸用),ﾁｮｳﾘｶﾌﾞｼｷｶﾞｲｼｬ ﾎｸﾘｸｼﾃﾝ(ｲﾄ)ﾖｳﾖｳ,蝶理株式会社　北陸支店(,9208676,石川県金沢市昭和町16-1,ヴィサージュオフィスゾーン15階,,,,御中,076-232-3521,,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,"2,365,901 ",301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,糸仕入用,表示する,2015年10月06日
,383,帝人フロンティア株式会社,ﾃｲｼﾞﾝﾌﾛﾝﾃｨｱｶﾌﾞｼｷｶﾞｲｼｬ,帝人フロンティア㈱,541-8540,大阪府大阪市中央区南本町１丁目６番７号,帝人ビル  １６Ｆ,インテリア第一部  インテリア課,,平井,様,06-6266-8134,,,,X,上村　茂X,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,301,振込,振込,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2015年01月26日
,389,帝人フロンティア株式会社原料部,ﾃｲｼﾞﾝﾌﾛﾝﾃｨｱｶﾌﾞｼｷｶﾞｲｼｬｹﾞﾝﾘｮｳﾌﾞﾀﾞｲﾆｶ,帝人フロンティア株式会社,541-0054,大阪府大阪市中央区南本町1-6-7,,,,,御中,06-6266-8066,06-6266-8019,,,,,掛仕入,仕入単価,100.0 ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,000,,,000,,,0 ,超過分,翌月,20 ,0 ,,,,,,,他行,当座預金,,,,,,先方負担,電信,,,,,,,,,,,,表示する,2016年06月01日
