コード,名称,フリガナ,略称,郵便番号,住所１,住所２,部署名,役職名,ご担当者,敬称,TEL,FAX,メールアドレス,ホームページ,担当者,,取引区分,単価種類,掛率,請求先,,締グループ,,金額端数処理,税端数処理,税転嫁,与信限度額,売掛残高,回収方法,,,回収サイクル,回収日,手数料負担,サイト,指定売上伝票,指定請求書,宛名ラベル,企業コード,分類１,,分類２,,分類３,,分類４,,分類５,,メモ欄,参照表示,更新日,請求書合算, 
010,旭化成アドバンス株式会社,ｱｻﾋｶｾｲｱﾄﾞﾊﾞﾝｽｶﾌﾞｼｷｶﾞｲｼｬ,旭化成アドバンス株式会社,105-0004,東京都港区新橋六丁目17番21号,住友不動産御成門駅前ビル,東京事業所 アウターマテリアル事業部,,長谷川,様,03-5643-7872,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,010,旭化成アドバンス株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"-1,728 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,15/03/16住所変更,表示する,2015年04月02日,,
011,旭化成アドバンス株式会社,ｱｻﾋｶｾｲｱﾄﾞﾊﾞﾝｽｶﾌﾞｼｷｶﾞｲｼｬ,旭化成アドバンス株式会社,5308205,大阪府大阪市北区中之島三丁目３番２３号,（中之島ダイビル）,アウターマテリアル事業部第一営業部,課長,遠藤,様,06-7636-3923,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,011,旭化成アドバンス株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"6,255,684 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,2015/3/16電話番号変更,表示する,2015年04月02日,,
013,アスワン株式会社,ｱｽﾜﾝ(ｶﾌﾞ),アスワン㈱,550-0015,大阪府大阪市西区南堀江１－１１－１,三共四ツ橋ビル７Ｆ,ファニシング事業部業務課,主任,田村,様,06-6543-0151,,,,X,上村　茂X,掛売上,売上単価１,100.0 ,013,アスワン株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"690,241 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2016年04月27日,,
053,伊藤忠商事株式会社,ｲﾄｳﾁﾕｳｼﾖｳｼﾞ ｶﾌﾞ,伊藤忠商事㈱,530-8448,大阪府大阪市北区梅田３－１－３,ノースゲートビルディング,テキスタイル・製品部テキスタイル課,,,御中,06-7638-2326,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,053,伊藤忠商事株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
054,伊藤忠商事株式会社,ｲﾄｳﾁｭｳｼｮｳｼﾞ(ｶﾌﾞ),伊藤忠商事㈱,107-0061,東京都港区北青山２－５－１,,ファッションアパレル第１部機能衣料課,,森玉,様,03-3497-2200,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,054,伊藤忠商事株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2015年07月02日,,
057,伊藤忠商事株式会社　繊維カンパニー,ｲﾄｳﾁｭｳｼｮｳｼﾞｶﾌﾞｼｷｶﾞｲｼｬ,伊藤忠商事㈱　繊維ｶﾝﾊﾟﾆｰ,107-8077,東京都港区北青山２－５－１,,ファッションアパレル第一部アパレル資材課,,中村,様,03-3497-2147,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,057,伊藤忠商事株式会社　繊維カンパニー,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年12月03日,,
064,ウィズオール株式会社,ｳｨｽﾞｵｰﾙ ｶﾌﾞ,ウィズオール㈱,541-0054,大阪府大阪市中央区南本町２－４－１６,デビスビル３Ｆ,繊維部,,,御中,06-6264-7825,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,064,ウィズオール株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
066,株式会社植木機工,ｶﾌﾞｳｴｷｷｺｳ,㈱植木機工,945-1352,新潟県柏崎市安田３９７３－３,,工事部,工事長,植木信昭,様,0257-23-5194,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,066,株式会社植木機工,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
068,株式会社エフビイ,ｶﾌﾞｼｷｶﾞｲｼｬｴﾌﾋﾞｲ,㈱エフビイ,541-0056,大阪府大阪市中央区久太郎町１丁目５番３１,三星中央ビル４階,,社長,桂,様,06-6261-7051,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,068,株式会社エフビイ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,10 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年11月29日,,
070,株式会社エルピージャパン,(ｶﾌﾞ)ｴﾙﾋﾟｰｼﾞｬﾊﾟﾝ,㈱エルピージャパン,541-0054,大阪府大阪市中央区南本町１－２－５,マヤビル第２  ７Ｆ,,,,御中,06-6266-1188,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,070,株式会社エルピージャパン,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"471,108 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
074,株式会社エムズクリエイツ,ｶﾌﾞｼｷｶﾞｲｼｬｴﾑｽﾞｸﾘｴｲﾂ,㈱エムズクリエイツ,102-0084,東京都千代田区二番町1-2-831,,,代表取締役,諸我勝典,様,,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,074,株式会社エムズクリエイツ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年07月16日,,
077,株式会社ウエマツ,ｶﾌﾞｼｷｶﾞｲｼｬｳｴﾏﾂ,㈱ウエマツ,919-0321,福井県福井市下河北町第７号５番地４,,,,,様,0776-38-9700,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,077,株式会社ウエマツ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
078,株式会社ＳＫ　ＧＬＯＢＡＬ,ｶﾌﾞｼｷｶﾞｲｼｬSK GLOBAL,㈱ＳＫ　ＧＬＯＢＡＬ,542-0066,大阪府大阪市中央区瓦屋町２丁目１２番３号,,,部長,横田,様,06-4303-4452,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,078,株式会社ＳＫ　ＧＬＯＢＡＬ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年12月27日,,
079,株式会社ＳＳＤＡ,,㈱ＳＳＤＡ,151-0071,東京都渋谷区本町1-4-3-305,,,代表取締役,関　慎也,様,03-6300-4262,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,079,株式会社ＳＳＤＡ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年01月27日,,
082,オーミケンシ株式会社,ｵｰﾐｹﾝｼｶﾌﾞｼｷｶﾞｲｼｬ,オーミケンシ㈱,541-0048,大阪府大阪市中央区瓦町2-5-14,,,,,御中,06-6205-7116,06-6205-7155,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,082,オーミケンシ株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
085,奥田株式会社,ｵｸﾀﾞｶﾌﾞｼｷｶﾞｲｼｬ,奥田㈱,547-0002,大阪市平野区加美東1丁目9-17,,,,,御中,06-6791-2101,06-6791-2102,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,085,奥田株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年09月11日,,
092,有限会社オリセン,ﾕｳｹﾞﾝｶﾞｲｼｬｵﾘｾﾝ,㈲オリセン,929-1172,石川県かほく市松浜ロ14,,,代表取締役,折戸　開成,様,076-285-0339,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,092,有限会社オリセン,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"1,276,236 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年01月17日,,
093,大八木株式会社,ｵｵﾔｷﾞｶﾌﾞｼｷｶｲｼｬ,大八木㈱,491-0838,愛知県一宮市猿海道3-2-8,,,常務取締役,大八木俊宏,様,0586-24-1156,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,093,大八木株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"489,024 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年03月10日,,
116,尾張整染株式会社,ｵﾜﾘｾｲｾﾝｶﾌﾞｼｷｶﾞｲｼｬ,尾張整染㈱,491-0073,愛知県一宮市高畑町二丁目２５番地,,車両インテリア事業部第１生産部　生産管理,,石川,様,0586-72-4327,,,,X,上村　茂X,掛売上,売上単価１,100.0 ,116,尾張整染株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年03月02日,,
122,カワボウ繊維株式会社,ｶﾜﾎﾞｳｾﾝｲｶﾌﾞｼｷｶﾞｲｼｬ,カワボウ繊維㈱,502-8501,岐阜県岐阜市正木中１丁目１番１号,,テキスタイル本部婦人グループ,,,御中,058-294-7783,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,122,カワボウ繊維株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年10月03日,,
126,株式会社カズマ,ｶﾌﾞｼｷｶﾞｲｼｬｶｽﾞﾏ,㈱カズマ,910-0123,福井県福井市八重巻町105,,,,浅井,様,0776-56-4006,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,126,株式会社カズマ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年04月15日,,
127,株式会社暁星ジャパン　大阪支店,ｶﾌﾞｼｷｶﾞｲｼｬｷﾞｮｳｾｲｼﾞｬﾊﾟﾝ ｵｵｻｶｼﾃﾝ,㈱暁星ジャパン　大阪支店,541-0052,大阪府大阪市中央区安土町2-3-13,大阪国際ビル13階,,,,御中,06-6264-0778,06-6261-0884,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,127,株式会社暁星ジャパン　大阪支店,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年03月02日,,
136,岐セン株式会社,ｷﾞｾﾝｶﾌﾞｼｷｶﾞｲｼｬ,岐セン㈱,501-0234,岐阜県瑞穂市牛牧758番地,,,,,御中,058-326-5111,,,,L,上村　茂L,掛売上,売上単価１,100.0 ,136,岐セン株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年08月20日,,
160,株式会社楠コーポレーション,(ｶﾌﾞ)ｸｽﾉｷｺｰﾎﾟﾚｰｼｮﾝ,㈱楠コーポレーション,541-0054,大阪府大阪市中央区南本町３－３－２３,インペリアル船場４１７号,,,,御中,06-4963-2144,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,160,株式会社楠コーポレーション,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"18,629 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
161,株式会社楠コーポレーション,ｶﾌﾞｼｷｶﾞｲｼｬｸｽﾉｷｺｰﾎﾟﾚｰｼｮﾝ,㈱楠コーポレーション,541-0054,大阪府大阪市中央区南本町3-3-23,インペリアル船場417号,,,,御中,06-4963-2144,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,161,株式会社楠コーポレーション,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年12月22日,,
163,クロスロード株式会社,ｸﾛｽﾛｰﾄﾞｶﾌﾞｼｷｶﾞｲｼｬ,クロスロード㈱,103-0007,東京都中央区日本橋浜町2丁目25-1,アスコットパーク日本橋浜町アルテ902,,,谷辺,様,03-5643-5613,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,163,クロスロード株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年02月26日,,
170,有限会社ケイライン,ﾕｳ ｹｲﾗｲﾝ,㈲ケイライン,915-0264,福井県越前市野岡町１２－１－１１,,,,,御中,0778-42-3722,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,170,有限会社ケイライン,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
171,ＫＢセーレン株式会社,ｹｰﾋﾞｰｾｰﾚﾝｶﾌﾞｼｷｶﾞｲｼｬ,ＫＢセーレン㈱,107-0062,東京都港区南青山1-1-1,新青山ﾋﾞﾙ東館17階,生活資材販売部,,,様,03-5411-8916,03-5411-8919,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,171,ＫＢセーレン株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
191,コマテックス株式会社,ｺﾏﾃｯｸｽ,コマテックス㈱,923-1117,石川県能美市末信町ヌ80番地,,,,,御中,0761-58-7001,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,191,コマテックス株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2016年04月28日,,
193,桑村繊維株式会社　大阪営業所,ｸﾜﾑﾗｾﾝｲｶﾌﾞｼｷｶﾞｲｼｬ  ,桑村繊維㈱　大阪営業所,541-0052,大阪府大阪市中央区安土町3-4-8,東光ビル,長繊維部,,,御中,06-6262-8070,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,193,桑村繊維株式会社　大阪営業所,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年06月20日,,
194,株式会社クリエイト,ｶﾌﾞｸﾘｴｲﾄ,㈱クリエイト,101-0031,東京都千代田区東神田２－４－２,,,,岩本,様,03-3863-6555,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,194,株式会社クリエイト,15,毎月15日締,切り捨て,切り捨て,外税/伝票計,0 ,"3,660,343 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2015年07月07日,,
201,サイボー株式会社,ｻｲﾎﾞｰｶﾌﾞｼｷｶﾞｲｼｬ,サイボー㈱,444-0806,愛知県岡崎市緑丘2丁目6番地4,ACCESS　STREET　402,,,,御中,0564-57-2750,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,201,サイボー株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
202,山越株式会社,ｻﾝｴﾂｶﾌﾞｼｷｶﾞｲｼｬ,山越㈱,929-1215,石川県かほく市高松丙1番地5,,,,,様,076-281-8110,,,,,,掛売上,売上単価１,100.0 ,202,山越株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
