コード,名称,フリガナ,略称,郵便番号,住所１,住所２,部署名,役職名,ご担当者,敬称,TEL,FAX,メールアドレス,ホームページ,担当者,,取引区分,単価種類,掛率,請求先,,締グループ,,金額端数処理,税端数処理,税転嫁,与信限度額,売掛残高,回収方法,,,回収サイクル,回収日,手数料負担,サイト,指定売上伝票,指定請求書,宛名ラベル,企業コード,分類１,,分類２,,分類３,,分類４,,分類５,,メモ欄,参照表示,更新日,請求書合算, 
203,酒伊編織株式会社,ｻｶｲｱﾐｵﾘｶﾌﾞｼｷｶﾞｲｼｬ,酒伊編織㈱,916-0027,福井県鯖江市桜町2丁目1-5,,,,,御中,0778-51-4642,0778-52-3976,,,,,掛売上,売上単価１,100.0 ,203,酒伊編織株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年01月09日,,
211,三共生興アパレルファッション株式会社,ｻﾝｷｮｳｾｲｺｳｱﾊﾟﾚﾙﾌｧｯｼｮﾝｶﾌﾞ,三共生興アパレルファッシ,541-0051,大阪府大阪市中央区備後町２－６－８,サンライズビル  ４階,第１０グループ,,北野,様,06-6268-5157,,,,P,板鼻健太郎P,掛売上,売上単価１,100.0 ,211,三共生興アパレルファッション株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"669,932 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
212,三協織物株式会社,ｻﾝｷｮｳｵﾘﾓﾉｶﾌﾞｼｷｶﾞｲｼｬ,三協織物㈱,430-0846,静岡県浜松市南区白羽町610番地,,,,,御中,053-441-2211,053-441-2410,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,212,三協織物株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
220,株式会社今野,ｶﾌﾞｼｷｶﾞｲｼｬｺﾝﾉ,㈱今野,992-0053,山形県米沢市松が岬２－１－６６,,,,,御中,0238-21-2231,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,220,株式会社今野,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
222,サンアルファー株式会社,ｻﾝｱﾙﾌｧｰ(ｶﾌﾞ),サンアルファー㈱,541-0053,大阪府大阪市中央区本町２－３－９,ＪＰＳ本町ビル４Ｆ,,,,御中,06-6266-1521,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,222,サンアルファー株式会社,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
223,サンコロナ小田株式会社,ｻﾝｺﾛﾅｵﾀﾞ ｶﾌﾞ,サンコロナ小田㈱,923-0311,石川県小松市木場町カ－８１番地,,,,,御中,0761-43-2211,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,223,サンコロナ小田株式会社,25,毎月25日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,20 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
250,株式会社ＧＳＩクレオス  大阪支店,ｶﾌﾞ GSIｸﾚｵｽ ｵｵｻｶｼﾃﾝ,㈱ＧＳＩクレオス  大,540-6591,大阪府大阪市中央区大手前１－７－３１,ＯＭＭビル６Ｆ,テキスタイル第３部大阪営業課,,,御中,06-6944-2611,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,250,株式会社ＧＳＩクレオス  大阪支店,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"22,075 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
255,株式会社茂野商店,ｶﾌﾞｼｷｶﾞｲｼｬｼｹﾞﾉｼｮｳﾃﾝ,㈱茂野商店,541-0056,大阪府大阪市中央区久太郎町１－１－２,,,,,御中,06-6261-5506,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,255,株式会社茂野商店,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年10月31日,,
258,株式会社ジェノ,(ｶﾌﾞ) ｼﾞｪﾉ,㈱ジェノ,540-0026,大阪府大阪市中央区内本町２－３－１１,（内本町グリーンビル６Ｆ）,,専務,山内,様,06-6947-1407,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,258,株式会社ジェノ,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,15 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
262,信友株式会社,ｼﾅﾄﾓｶﾌﾞｼｷｶﾞｲｼｬ,信友㈱,430-0929,静岡県浜松市中区中央3-7-10,セントラルプラザ21-2階,,,,御中,053-452-3123,,,,,,掛売上,売上単価１,100.0 ,262,信友株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年03月03日,,
263,創和テキスタイル株式会社,ｿｳﾜﾃｷｽﾀｲﾙｶﾌﾞｼｷｶﾞｲｼｬ,創和テキスタイル㈱,925-0623,石川県羽咋市本江町ヌー８,,,,高橋,様,,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,263,創和テキスタイル株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年02月07日,,
269,鈴倉インター株式会社,ｽｽﾞｸﾗｲﾝﾀｰ ｶﾌﾞ,鈴倉インター㈱,550-0002,大阪府大阪市西区江戸堀1-9-11,アイ・プラス江戸堀５Ｆ,,,,御中,06-6443-9000,06-6443-9010,,,,,掛売上,売上単価１,100.0 ,269,鈴倉インター株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"1,200,000 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年12月03日,,
290,株式会社サンクローバー,ｶﾌﾞｻﾝｸﾛｰﾊﾞｰ,㈱サンクローバー,500-8269,岐阜県岐阜市茜部中島１－１４１,,管理部,,白木,様,058-272-5511,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,290,株式会社サンクローバー,15,毎月15日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
291,株式会社ジャテック,ｶﾌﾞｼｷｶﾞｲｼｬｼﾞｬﾃｯｸ,㈱ジャテック,921-8062,石川県金沢市新保本３丁目１０２番,,,,,御中,076-249-3006,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,291,株式会社ジャテック,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
293,シンコー株式会社,ｼﾝｺｰｶﾌﾞｼｷｶﾞｲｼｬ,シンコー㈱,454-0836,愛知県名古屋市中川区福船町3-1,,イズライフ事業部,,牧,様,052-362-2715,052-362-8482,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,293,シンコー株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月01日,,
294,ジャパンインテリアプランニング株式会社,ｼﾞｬﾊﾟﾝｲﾝﾃﾘｱﾌﾟﾗﾝﾆﾝｸﾞｶﾌﾞｼｷｶﾞｲｼｬ,ｼﾞｬﾊﾟﾝｲﾝﾃﾘｱﾌﾟﾗﾝﾆﾝｸﾞ㈱,454-0836,愛知県名古屋市中川区福船町3-1,,,代表取締役,市川　隆朗,様,052-362-5736,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,294,ジャパンインテリアプランニング株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"2,365,485 ",000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年12月02日,,
295,スタイレム株式会社21課,ｽﾀｲﾚﾑｶﾌﾞｼｷｶﾞｲｼｬ21ｶ,スタイレム株式会社21課,556-0017,大阪府大阪市浪速区湊町1-2-3,,21課,,川本,様,06-4396-6640,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,295,スタイレム株式会社21課,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"2,431,314 ",000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年05月17日,,
309,ダイヤモード株式会社,ﾀﾞｲﾔﾓｰﾄﾞ(ｶﾌﾞ),ダイヤモード㈱,530-6040,大阪府大阪市北区天満橋１－８－３０,（ＯＡＰタワー３２Ｆ）,テキスタイル・製品営業部,,,御中,06-6881-6359,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,309,ダイヤモード株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
324,スタイレム株式会社91課,ｽﾀｲﾚﾑｶﾌﾞｼｷｶﾞｲｼｬ91ｶ,スタイレム株式会社91課,556-0017,大阪府大阪市浪速区湊町１－２－３,マルイト難波ビル１２Ｆ,欧米販売９１課,,,御中,06-4396-6801,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,324,スタイレム株式会社91課,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,旧社名　瀧定大阪株式会社,表示する,2015年02月03日,,
327,瀧定名古屋株式会社,ﾀｷｻﾀﾞﾅｺﾞﾔ (ｶﾌﾞ)  11ｶ,瀧定名古屋㈱,460-8667,愛知県名古屋市中区錦２－１３－１９,,１１課,課長,河内,様,052-201-0711,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,327,瀧定名古屋株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2015年03月04日,,
329,スタイレム株式会社83課,ｽﾀｲﾚﾑｶﾌﾞｼｷｶﾞｲｼｬ83ｶ,スタイレム株式会社83課,556-0017,大阪府大阪市浪速区湊町１－２－３,マルイト難波ビル１１Ｆ,83課,課長,河南,様,06-4396-6692,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,329,スタイレム株式会社83課,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"6,038,123 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,旧名 瀧定大阪㈱,表示する,2015年02月03日,,
330,スタイレム株式会社,ｽﾀｲﾚﾑｶﾌﾞｼｷｶﾞｲｼｬ,スタイレム㈱,556-0017,大阪府大阪市浪速区湊町1-2-3,マルイト難波ビル11階,ZEN　BLACK,室長,河南,様,03-4396-6692,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,330,スタイレム株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"293,857 ",000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年08月03日,,
340,タキヒヨー株式会社,ﾀｷﾋﾖｰｶﾌﾞｼｷｶﾞｲｼｬ,タキヒヨー㈱,451-8688,愛知県名古屋市西区牛島町６－１,名古屋ルーセントタワー２４Ｆ,テキスタイル事業部,,木下,様,052-587-7003,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,340,タキヒヨー株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年12月03日,,
341,タキヒヨー株式会社,ﾀｷﾋﾖｰｶﾌﾞｼｷｶﾞｲｼｬ,タキヒヨー㈱,451-8688,愛知県名古屋市西区牛島町6-1,名古屋ルーセントタワー24Ｆ,第4営業部　貿易部621課,,,御中,052-587-7006,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,341,タキヒヨー株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年04月24日,,
343,タキヒヨー株式会社,ﾀｷﾋﾖｰｶﾌﾞｼｷｶﾞｲｼｬ,タキヒヨー㈱,105-0004,東京都港区新橋１－７－１,,,,,御中,03-6274-5900,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,343,タキヒヨー株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"6,480 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
345,玉一商店株式会社,ﾀﾏｲﾁｼｮｳﾃﾝ(ｶﾌﾞ),玉一商店㈱,491-0906,愛知県一宮市南出町８６番地の１,,,,,御中,0586-47-7400,,,,K,上村　茂K,掛売上,売上単価１,100.0 ,345,玉一商店株式会社,20,毎月20日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,20 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
350,田村駒株式会社,ﾀﾑﾗｺﾏｶﾌﾞｼｷｶﾞｲｼｬ,田村駒㈱,150-0001,東京都渋谷区神宮前1-3-10,,第一事業部　第四部　第二課,,小林,様,03-5771-1648,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,350,田村駒株式会社,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年04月06日,,
352,株式会社タカイ,ｶﾌﾞｼｷｶﾞｲｼｬﾀｶｲ,㈱タカイ,491-0005,愛知県一宮市西大海道戌亥７番地の２,,,,,御中,0586-76-3552,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,352,株式会社タカイ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2014年12月09日,,
353,株式会社多島,ｶﾌﾞｼｷｶﾞｲｼｬﾀｼﾞﾏ,㈱多島,923-0854,石川県小松市大領町ハ1番地,,,,,様,0761-48-5383,0761-48-6343,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,353,株式会社多島,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,201,振込,当座預金,翌月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
354,タカギプランズ,ﾀｶｷﾞﾌﾟﾗﾝｽﾞ,タカギプランズ,992-0003,山形県米沢市窪田町窪田1717-7,,,,,御中,0238-37-3343,0238-37-3343,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,354,タカギプランズ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,当月,0 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2015年05月27日,,
362,株式会社チクマ,ｶﾌﾞｼｷｶﾞｲｼｬﾁｸﾏ,㈱チクマ,541-0047,大阪府大阪市中央区淡路町3-3-10,,婦人服地部輸出課,,,御中,06-6222-7705,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,362,株式会社チクマ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,0 ,000,,,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,○,,,,,,,,,,,,,表示する,2016年03月16日,,
364,蝶理株式会社(原糸調整分),ﾁｮｳﾘ ｶﾌﾞ(ｹﾞﾝｼﾁｮｳｾｲﾌﾞﾝ),蝶理株式会社(原糸調整分),540-8603,大阪府大阪市中央区淡路町１丁目７番３号,,,,熊谷,様,06-6228-5371,,,,B,板鼻健太郎B,掛売上,売上単価１,100.0 ,364,蝶理株式会社(原糸調整分),31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"274,335 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2016年07月06日,,
367,株式会社Ｃ’ｈａｐｐｙ Ｔｒａｄｉｎｇ,(ｶﾌﾞ)C'HAPPY TRADING,㈱C'HAPPY TRADING,541-0054,大阪府大阪市中央区南本町２－４－１１,第一住建本町ビル２０１号室,,,,御中,50-3387-3880,,,,E,清田　祐也E,掛売上,売上単価１,100.0 ,367,株式会社Ｃ’ｈａｐｐｙ Ｔｒａｄｉｎｇ,31,毎月末日締,切り捨て,切り捨て,外税/伝票計,0 ,"2,959,944 ",201,振込,当座預金,翌月,31 ,当方負担,0 ,弥生 33430X 売上伝票/請求書 (販売11形式) : 新シモムラ,A4単票 334402ﾀｲﾌﾟ (販売11形式) : シモムラ一括請求書ｖｒ2,×,,,,,,,,,,,,,表示する,2014年11月11日,,
